subgraph_size,jjk_composition,shape,observed_count,null_mean,null_std,z_score,p_value,significant
4,Jamāl + Kamāl-epistemic + Kamāl-epistemic + Kamāl-epistemic (upgraded from Disputed — see rationale),3edges,13,12.0994,7.9382,0.1135,0.4379,False
4,Jamāl + Kamāl-epistemic + Kamāl-epistemic + Kamāl-ontological,5edges,1,0.8003,1.1726,0.1703,0.4397,False
4,Disputed + Jamāl + Kamāl-epistemic + Kamāl-epistemic,5edges,16,14.9294,5.2632,0.2034,0.4432,False
4,Disputed + Jalāl + Jalāl + Kamāl-epistemic,5edges,20,19.0402,6.2853,0.1527,0.4436,False
4,Disputed + Jamāl + Kamāl-epistemic (upgraded from Disputed — see rationale) + Kamāl-ontological,4edges,30,28.5558,11.5891,0.1246,0.4544,False
4,Disputed + Jalāl + Kamāl-epistemic + Kamāl-epistemic (upgraded from Disputed — see rationale),3edges,97,93.6519,18.3352,0.1826,0.4562,False
3,Disputed + Kamāl-epistemic + Kamāl-ontological,complete,6,5.3941,1.789,0.3387,0.4657,False
4,Jamāl + Jamāl + Kamāl-epistemic + Kamāl-ontological,4edges,10,9.9371,6.1281,0.0103,0.481,False
4,Disputed + Jamāl + Kamāl-epistemic + Kamāl-epistemic (upgraded from Disputed — see rationale),5edges,6,5.4966,3.1628,0.1592,0.4831,False
4,Disputed + Kamāl-epistemic + Kamāl-ontological + Kamāl-ontological,3edges,100,95.0492,18.2976,0.2706,0.4842,False
4,Kamāl-epistemic + Kamāl-epistemic + Kamāl-epistemic + Kamāl-epistemic (upgraded from Disputed — see rationale),3edges,2,1.9823,2.2116,0.008,0.4881,False
4,Disputed + Jamāl + Kamāl-epistemic + Kamāl-ontological,3edges,695,687.8672,72.4174,0.0985,0.492,False
4,Disputed + Jalāl + Jalāl + Jalāl,3edges,1071,1086.215,162.2856,-0.0938,0.4924,False
4,Jamāl + Kamāl-epistemic + Kamāl-epistemic (upgraded from Disputed — see rationale) + Kamāl-ontological,4edges,3,3.3004,3.1932,-0.0941,0.494,False
4,Disputed + Kamāl-epistemic + Kamāl-epistemic (upgraded from Disputed — see rationale) + Kamāl-ontological,5edges,3,2.6958,1.9372,0.157,0.497,False
3,Jamāl + Jamāl + Kamāl-epistemic,2edges,23,23.0381,7.1316,-0.0053,0.498,False
